"Subjects" "Activity" "Time_Body_Accelerator-Mean()-X" "Time_Body_Accelerator-Mean()-Y" "Time_Body_Accelerator-Mean()-Z" "Time_Gravity_Accelerator-Mean()-X" "Time_Gravity_Accelerator-Mean()-Y" "Time_Gravity_Accelerator-Mean()-Z" "Time_Body_AcceleratorJerk-Mean()-X" "Time_Body_AcceleratorJerk-Mean()-Y" "Time_Body_AcceleratorJerk-Mean()-Z" "Time_Body_Gyroscope-Mean()-X" "Time_Body_Gyroscope-Mean()-Y" "Time_Body_Gyroscope-Mean()-Z" "Time_Body_GyroscopeJerk-Mean()-X" "Time_Body_GyroscopeJerk-Mean()-Y" "Time_Body_GyroscopeJerk-Mean()-Z" "Time_Body_Accelerator_Magnitude-Mean()" "Time_Gravity_Accelerator_Magnitude-Mean()" "Time_Body_AcceleratorJerk_Magnitude-Mean()" "Time_Body_Gyroscope_Magnitude-Mean()" "Time_Body_GyroscopeJerk_Magnitude-Mean()" "Frequency_Body_Accelerator-Mean()-X" "Frequency_Body_Accelerator-Mean()-Y" "Frequency_Body_Accelerator-Mean()-Z" "Frequency_Body_Accelerator-MeanFreq()-X" "Frequency_Body_Accelerator-MeanFreq()-Y" "Frequency_Body_Accelerator-MeanFreq()-Z" "Frequency_Body_AcceleratorJerk-Mean()-X" "Frequency_Body_AcceleratorJerk-Mean()-Y" "Frequency_Body_AcceleratorJerk-Mean()-Z" "Frequency_Body_AcceleratorJerk-MeanFreq()-X" "Frequency_Body_AcceleratorJerk-MeanFreq()-Y" "Frequency_Body_AcceleratorJerk-MeanFreq()-Z" "Frequency_Body_Gyroscope-Mean()-X" "Frequency_Body_Gyroscope-Mean()-Y" "Frequency_Body_Gyroscope-Mean()-Z" "Frequency_Body_Gyroscope-MeanFreq()-X" "Frequency_Body_Gyroscope-MeanFreq()-Y" "Frequency_Body_Gyroscope-MeanFreq()-Z" "Frequency_Body_Accelerator_Magnitude-Mean()" "Frequency_Body_Accelerator_Magnitude-MeanFreq()" "Frequency_BodyBody_AcceleratorJerk_Magnitude-Mean()" "Frequency_BodyBody_AcceleratorJerk_Magnitude-MeanFreq()" "Frequency_BodyBody_Gyroscope_Magnitude-Mean()" "Frequency_BodyBody_Gyroscope_Magnitude-MeanFreq()" "Frequency_BodyBody_GyroscopeJerk_Magnitude-Mean()" "Frequency_BodyBody_GyroscopeJerk_Magnitude-MeanFreq()" "angle(tBody_AcceleratorMean,gravity)" "angle(tBody_AcceleratorJerkMean),gravityMean)" "angle(tBody_GyroscopeMean,gravityMean)" "angle(tBody_GyroscopeJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)" "Time_Body_Accelerator-StDev()-X" "Time_Body_Accelerator-StDev()-Y" "Time_Body_Accelerator-StDev()-Z" "Time_Gravity_Accelerator-StDev()-X" "Time_Gravity_Accelerator-StDev()-Y" "Time_Gravity_Accelerator-StDev()-Z" "Time_Body_AcceleratorJerk-StDev()-X" "Time_Body_AcceleratorJerk-StDev()-Y" "Time_Body_AcceleratorJerk-StDev()-Z" "Time_Body_Gyroscope-StDev()-X" "Time_Body_Gyroscope-StDev()-Y" "Time_Body_Gyroscope-StDev()-Z" "Time_Body_GyroscopeJerk-StDev()-X" "Time_Body_GyroscopeJerk-StDev()-Y" "Time_Body_GyroscopeJerk-StDev()-Z" "Time_Body_Accelerator_Magnitude-StDev()" "Time_Gravity_Accelerator_Magnitude-StDev()" "Time_Body_AcceleratorJerk_Magnitude-StDev()" "Time_Body_Gyroscope_Magnitude-StDev()" "Time_Body_GyroscopeJerk_Magnitude-StDev()" "Frequency_Body_Accelerator-StDev()-X" "Frequency_Body_Accelerator-StDev()-Y" "Frequency_Body_Accelerator-StDev()-Z" "Frequency_Body_AcceleratorJerk-StDev()-X" "Frequency_Body_AcceleratorJerk-StDev()-Y" "Frequency_Body_AcceleratorJerk-StDev()-Z" "Frequency_Body_Gyroscope-StDev()-X" "Frequency_Body_Gyroscope-StDev()-Y" "Frequency_Body_Gyroscope-StDev()-Z" "Frequency_Body_Accelerator_Magnitude-StDev()" "Frequency_BodyBody_AcceleratorJerk_Magnitude-StDev()" "Frequency_BodyBody_Gyroscope_Magnitude-StDev()" "Frequency_BodyBody_GyroscopeJerk_Magnitude-StDev()"
"Participant 2" "WALKING" 0.266254155337748 -0.0182698310629139 -0.109521069650662 0.722021940284768 -0.043103047089404 0.0975964719602649 0.079810628160596 0.0158633246875497 -0.00889735875333113 -0.0317333503771854 -0.0775356626298013 0.0902041884216887 -0.092657538425596 -0.0412181919380795 -0.049739055615894 -0.515096084794371 -0.515096084794371 -0.582939298917219 -0.533372996822517 -0.66614450439404 -0.58166623010894 -0.451588122013046 -0.63431694692053 -0.155223293129238 0.0749576383248344 0.095769355090596 -0.588105794520563 -0.540302751803116 -0.722500482682119 -0.00768781984503311 -0.185056832138742 -0.0653175267211921 -0.650623578218874 -0.547478705080464 -0.596607764999007 -0.0115262234789404 -0.0639423710278146 -0.00584068092149006 -0.52606723434404 0.162601120963576 -0.54020183485947 0.217646987279007 -0.575571416530464 0.0700208282550331 -0.668393487383113 0.198698950590033 0.0254738031420861 0.00653822538443709 0.00711225434205298 -0.0139913007410596 -0.517802279602649 0.0927967519142384 -0.0582061460165563 -0.600654663701752 -0.42449412985596 -0.564799597942384 -0.960707273675497 -0.952006573039735 -0.927710810831126 -0.566588404912914 -0.502489111512252 -0.742639009019868 -0.712885481407285 -0.514006172225331 -0.635960063850993 -0.650568311827815 -0.661908821986755 -0.695700655436755 -0.54560418749106 -0.54560418749106 -0.552421038089536 -0.548604195284106 -0.672076431609272 -0.609824535179139 -0.448535568935199 -0.565835332911258 -0.583234071662583 -0.495066969300596 -0.761354734139073 -0.733890020460265 -0.501612123265232 -0.683726264039735 -0.631323852092715 -0.571491474322848 -0.611491734463576 -0.700877642099338
"Participant 4" "WALKING" 0.270491378315457 -0.0166483545768139 -0.102924851575148 0.689476215236593 -0.0155595255811041 0.0713705362078864 0.0699730581119558 0.0145366042583596 -0.00459589886640536 -0.01673136555347 -0.0837452829031546 0.0871218995049211 -0.103942669730599 -0.041878761984858 -0.0528534699336593 -0.570127691460189 -0.570127691460189 -0.669260021766877 -0.631639208987382 -0.785185178895899 -0.642064646592114 -0.532634530337855 -0.705085703195584 -0.185045261172871 0.028871827348265 0.00275614157602524 -0.666379330797792 -0.619260173668107 -0.787296435678233 -0.039082152564858 -0.238343916230599 -0.171367880492208 -0.68061115085489 -0.74394836444164 -0.676655563693375 -0.109415546326814 -0.18383095584164 -0.0485750756906625 -0.602570713416404 0.0722107111111041 -0.632158741052997 0.132432759693691 -0.707935266201893 -0.0807503878219558 -0.80508386188959 0.0849953283365931 0.0375259977664826 0.0142953715587697 0.0198790114564669 -0.00656942789053628 -0.483453286088328 0.0667467981608833 -0.0340852648690852 -0.639375958823344 -0.499574135920189 -0.635527289898107 -0.967383419179811 -0.945945182302839 -0.925914069968454 -0.656394199704732 -0.59733907514164 -0.802805312996845 -0.729639377835016 -0.705377535745426 -0.709334385125868 -0.731863823832808 -0.823772408955836 -0.757963244394322 -0.609834093984227 -0.609834093984227 -0.641551385253943 -0.663822367753943 -0.804354303217666 -0.639451455341956 -0.515915334583596 -0.631696291550158 -0.677185649593912 -0.601360331867193 -0.817031633028391 -0.747008177763407 -0.689467492343849 -0.748430487066246 -0.676271414146688 -0.657875626668454 -0.695338388665615 -0.81841754829653
"Participant 9" "WALKING" 0.279573206420139 -0.0163629654228819 -0.107456184342708 0.741870442291667 0.051831374890625 0.044061886868358 0.0783787580983681 0.00125667183631945 -0.000626950560125 -0.0203482325733333 -0.0783144549090278 0.0853711789690972 -0.0991285695934028 -0.0460835978725694 -0.0452072014743056 -0.508515124293889 -0.508515124293889 -0.622048378527778 -0.606102424001389 -0.732657239513889 -0.588144320270486 -0.469214870379861 -0.696216414027778 -0.217873894144792 0.0721265486166667 -0.0269467838827431 -0.625759957330903 -0.563280042727569 -0.774730265763889 -0.0888403200114583 -0.247247644486007 -0.186138928064583 -0.637491708751042 -0.729528189166667 -0.578002134762396 -0.0521053712114583 -0.108748075640972 0.0348030381883681 -0.545108224994792 0.0655780755698958 -0.583322861663194 0.107694161851632 -0.683720065153472 0.00408427808694861 -0.768073387673611 0.0239811219033333 -0.00635574584652778 -0.00801482213402778 -0.0145348046715278 -0.02844715950625 -0.617515406840278 0.0123371484513889 -0.0103918976020833 -0.563438074324653 -0.435902513647569 -0.634317986920139 -0.9635924365625 -0.942903028614583 -0.9344545153125 -0.6071669919 -0.526547246550347 -0.790342824513889 -0.701069304208333 -0.715994335347222 -0.633114392079861 -0.672768098392361 -0.794167332048611 -0.625740890110764 -0.544237116682292 -0.544237116682292 -0.588673484184375 -0.65265847625 -0.754539026597222 -0.555715312940625 -0.455828349748264 -0.631958336131944 -0.62343386929375 -0.519036098730997 -0.804501091805556 -0.723006997675347 -0.711340798090278 -0.6876830890625 -0.616060148405556 -0.599055536643264 -0.6942229783625 -0.755500745625
"Participant 10" "WALKING" 0.273985943234694 -0.018013488222119 -0.11437062387415 0.747199235 -0.00256134483503401 0.0443298723363265 0.085324944809966 0.00654839656442177 -5.57091455782287e-06 -0.0405857575961565 -0.0724239306518027 0.0880084428458844 -0.0954443438232313 -0.0456619398997959 -0.0553874200747619 -0.440495962081259 -0.440495962081259 -0.556268123707483 -0.581925471823129 -0.687975366156463 -0.49413237105102 -0.402791982952041 -0.712778274285714 -0.189976795369388 0.0321833302707823 0.0273400183371088 -0.543139546141837 -0.517766540290476 -0.775581551122449 -0.105059197283571 -0.333900768318027 -0.169757782792177 -0.59499740462517 -0.685074530068027 -0.531730067279252 -0.0489568528495578 -0.0714150209408503 0.0682642496914966 -0.486283759152517 0.086771065947449 -0.515782924740952 0.11105129399898 -0.649304130917007 0.0704049335648299 -0.728056060918367 0.0529527979739116 -0.0101515162194218 -0.0176318348639456 0.0613325794422789 -0.0349502930840136 -0.599382730612245 0.0418099685445578 -0.00983752160214966 -0.472368988505102 -0.369562834303776 -0.686039236326531 -0.965692252142857 -0.946827230782313 -0.945791078061224 -0.517420163886735 -0.470808821608503 -0.792824555680272 -0.680139283535714 -0.684236828639456 -0.613982026810544 -0.632092115013606 -0.752459922176871 -0.56664660352449 -0.486289573537755 -0.486289573537755 -0.532501871381973 -0.638180303934354 -0.719588265068027 -0.466147268803435 -0.39267431967983 -0.696749498197279 -0.534447414378571 -0.455262116327211 -0.808657006904762 -0.708166085160884 -0.687121815306122 -0.681502625442177 -0.567664890370068 -0.558377952930612 -0.695178352982993 -0.729363491428571
"Participant 12" "WALKING" 0.271426169340625 -0.0168681579125938 -0.112787401825 0.67666092959375 -0.0195651053715625 0.0123522771661875 0.0804810214678125 0.00369856300890625 -0.008063100285375 -0.0493739889069063 -0.0689905027286562 0.0967500581434375 -0.0875437183765625 -0.04688600745225 -0.056377061262875 -0.4878620116475 -0.4878620116475 -0.58176189872125 -0.554063340325125 -0.641546451728125 -0.56174579969375 -0.489139885003125 -0.553008095861563 -0.272833044594375 0.006859302934625 0.0763183804528438 -0.607930724269688 -0.582737065052187 -0.631310948510312 -0.121728218137134 -0.257202654775938 -0.154349762153813 -0.565210899652188 -0.605126568115625 -0.578028527376563 -0.0391180931624687 -0.0711127966992187 0.0043417839596875 -0.48856052548375 0.0351590576654563 -0.522723368895625 0.0823938038123125 -0.576306032003125 0.044512414627125 -0.629464941553125 0.0791775037259375 -0.0079945406201875 -0.0046400390409375 0.053133655675 -0.039962935934925 -0.51611121615625 0.073189378634375 -0.00935560883588438 -0.552770738031625 -0.473241188 -0.505166053074156 -0.95444979240625 -0.95262700446875 -0.92500957796875 -0.586796450108125 -0.549531230140594 -0.649492855008375 -0.661660553790625 -0.618394830665625 -0.623185204515 -0.594371712159375 -0.644550718161875 -0.632563194496375 -0.490543188540094 -0.490543188540094 -0.524338520027812 -0.567399496562188 -0.620148342658 -0.550518312638125 -0.49930566805 -0.521470373891281 -0.6021057334444 -0.5441266687 -0.666366677893125 -0.695515387653125 -0.63122201421875 -0.67697428670625 -0.57258405598125 -0.52977570217075 -0.641903012938125 -0.635240184022594
"Participant 13" "WALKING" 0.273453455139303 -0.0191122843024378 -0.11152711519204 0.584260984228856 0.0860091204179105 0.154560243657333 0.075843782059204 0.00668962622074627 -0.00790785238552239 -0.0429987919449254 -0.0678194322343781 0.095274676937811 -0.0984325823931642 -0.0336999382949751 -0.0617111857785075 -0.480449062961194 -0.480449062961194 -0.57101403471408 -0.525067000013433 -0.668414294368159 -0.555742388125871 -0.439680504067662 -0.58005325711408 -0.277826958430846 0.0456115895472637 0.116347435473134 -0.598666469742786 -0.535829902051094 -0.658998755042686 -0.0574361896427861 -0.190753492336816 -0.115790773524378 -0.572196213715423 -0.601729316626368 -0.609182015538955 -0.0808236421931343 -0.0764276482258706 -0.0123934626968657 -0.493822456109453 0.098261274601194 -0.51833590592597 0.178875707193532 -0.594620313127711 0.0192470345879607 -0.654700209015771 0.159979137302239 -0.00911491426666666 0.0072158159920398 0.0267697473830846 -0.0164993835681592 -0.424175828756219 -0.00111578368656716 -0.103096848652736 -0.543930287218905 -0.420498071609453 -0.54386902288607 -0.960503723358209 -0.95427227140796 -0.939523619552239 -0.577466316880348 -0.499615286456219 -0.685778777383085 -0.629691772049751 -0.612905783286567 -0.635273272303483 -0.620182723035821 -0.662042642527861 -0.690307774243781 -0.507417676079602 -0.507417676079602 -0.52363198890796 -0.571023119592537 -0.650021991185075 -0.540275639791045 -0.447726126442786 -0.561124683395025 -0.593775542923383 -0.494419765239801 -0.711197147532338 -0.650117147174129 -0.624997434241294 -0.679503058159204 -0.593541123733333 -0.535220347440796 -0.63119890418408 -0.670281546593532
"Participant 13" "WALKING_UPSTAIRS" 0.266012747753968 -0.0189966015353968 -0.103168786319048 0.591145692460317 0.0064352405447619 0.204289748499048 0.0921688138809524 0.00409116754215873 -0.0271179632153175 0.0116125868396825 -0.0989797086277778 0.0826971808547619 -0.102777893722222 -0.0432323754214286 -0.0616289680365079 -0.580915157323016 -0.580915157323016 -0.650311817714286 -0.579568050399206 -0.746681133730159 -0.671292592602381 -0.525224091825397 -0.637861985809524 -0.258663431843651 0.010433111147619 0.0793194005931746 -0.679178782879365 -0.626560635612698 -0.72213935997619 0.0650153215006349 -0.162030061292857 -0.0326187680412698 -0.680999307603175 -0.633902333943651 -0.655907554502381 -0.117537469887302 -0.237060224501032 -0.0103412784348413 -0.6163334064 0.0737934928356349 -0.635914711656349 0.283169371404762 -0.66753844068254 -0.0877583008015873 -0.758230333366667 0.215471135394444 0.0308694292205556 -0.0503594542912698 -0.0406450934269841 -0.0298623735940476 -0.433628977380952 0.0768100492396825 -0.169538258921587 -0.67184800665 -0.507916942888889 -0.586795530880952 -0.940882106714286 -0.944880236825397 -0.902579059301587 -0.670474164230159 -0.606395486539683 -0.745175357865079 -0.736744530557143 -0.625542167845238 -0.659502118072222 -0.73941582927381 -0.747695143071746 -0.777987215515873 -0.640775142776191 -0.640775142776191 -0.663966937850794 -0.645168085503968 -0.769846788357143 -0.674026644565873 -0.531156654031746 -0.595230824534921 -0.692355213599206 -0.611620810833333 -0.767889299222222 -0.755344515619048 -0.625522549190476 -0.693144251995238 -0.714995959963492 -0.706138740031746 -0.693504694043651 -0.802816243293651
"Participant 18" "WALKING_UPSTAIRS" 0.275813539766483 -0.0197847060266209 -0.109724406 0.746097455714286 0.0238128352313187 0.0649739962692308 0.0840255812151648 0.00455851495230769 -0.00747389077997253 -0.0420154019156868 -0.0636798603571429 0.0727789809566607 -0.0845837306546703 -0.0461890871706593 -0.047778170206456 -0.441683314753846 -0.441683314753846 -0.568090151717528 -0.525919170511429 -0.747166238214286 -0.543999346449451 -0.404642150970769 -0.631000027811264 -0.228145211142308 0.0261937328373626 0.0638130883373077 -0.588884194954945 -0.524299327870604 -0.722580888195879 -0.100379987272198 -0.248142033662363 -0.126403458416923 -0.649141983046703 -0.68077939381044 -0.573022513221703 -0.122823520301264 -0.148009835744231 -0.0954060300701099 -0.516181975392582 0.15216111613336 -0.552541401444505 0.178705739060907 -0.684017746139011 -0.0734058381863462 -0.790292823302473 0.139337650478846 0.0088974087885989 -0.0327426340744505 0.0347094504304945 -0.0299213081711813 -0.543241108956044 0.0276351501923077 -0.023286145235989 -0.519505039591758 -0.362834467203297 -0.547217486402747 -0.971554650879121 -0.955175497884615 -0.950483498076923 -0.56778194477033 -0.493368920210714 -0.743885041497802 -0.687298249054121 -0.627193897193132 -0.574525102567308 -0.728381730384615 -0.782009699297143 -0.718080150901099 -0.53726164692967 -0.53726164692967 -0.573364740903846 -0.627409644861264 -0.796281231585165 -0.512024200912088 -0.383013842527198 -0.54256207562967 -0.584967288907967 -0.494696881284341 -0.763975916815934 -0.701844995519231 -0.605495687261264 -0.615692830192308 -0.623040752843407 -0.605526242192308 -0.656748186435714 -0.819325772925824
"Participant 20" "WALKING_UPSTAIRS" 0.270476703844633 -0.0161754373753955 -0.100869884769887 0.695835143522599 -0.121204400667514 -0.137652943683616 0.0750479380666102 0.00437122360742655 -0.00378778483217797 -0.00128819261644068 -0.0943014057028249 0.0617709115200565 -0.106445966994427 -0.0450883286672006 -0.045638159024548 -0.479982735783051 -0.479982735783051 -0.631893211073729 -0.448462452251667 -0.720897112777119 -0.637650325898588 -0.482523999579943 -0.478081833381356 -0.301830872836158 -0.146847664860169 -0.105536804763277 -0.673255969022316 -0.620017389045198 -0.645841744086158 -0.131238448931356 -0.303419980222599 -0.224740624960452 -0.710514443028249 -0.537201392968503 -0.465067417644633 -0.239492888685593 -0.345672940332203 -0.209276833734181 -0.51852442579661 -0.0585095724383898 -0.619555796435169 0.14270982994661 -0.570248563283333 -0.14922503830791 -0.737019788255254 0.0822928945279096 0.031424129585452 0.0203753317148023 -0.0540323819525424 0.0310131884812429 -0.449883074824859 0.163930733316384 0.106218170370763 -0.628619624361017 -0.40533469615322 -0.335061575395113 -0.944572054435028 -0.943544753180791 -0.91911378700565 -0.660959051944802 -0.608344654310452 -0.681239213081864 -0.73768541470904 -0.434673027608616 -0.410801115644633 -0.796439520056497 -0.719780345231638 -0.663960571855367 -0.500996893844915 -0.500996893844915 -0.627176146169181 -0.498859097819209 -0.745621898025424 -0.625955302026977 -0.406986297651695 -0.315852653489802 -0.678868936881074 -0.623113171398023 -0.715987483330791 -0.748430578539548 -0.386260946866017 -0.451070637362147 -0.570542892313277 -0.64012478010226 -0.539996502433107 -0.776589255485876
"Participant 24" "WALKING_UPSTAIRS" 0.279733791727034 -0.0152026875335696 -0.108722334288714 0.69876087184252 0.0870135126745407 0.0186802860651706 0.0765947734299213 0.0052483974115748 -0.00586419426615486 -0.0302611542639895 -0.0762227451955906 0.0909628084535433 -0.0961128540685039 -0.044046677814357 -0.0563611783818898 -0.586747567890184 -0.586747567890184 -0.701585400709895 -0.664642864102625 -0.831704510971129 -0.639610513312336 -0.572093783977192 -0.770933657929134 -0.192262507344619 0.0697069798722992 0.0625958969889501 -0.692210388243045 -0.662343406508924 -0.83012350452231 -0.00728485831848556 -0.151829580498189 -0.0575642493496063 -0.709532915340945 -0.789373594330709 -0.745932063737533 -0.0993786190871654 -0.184861480505512 -0.0059385108783727 -0.617292652916929 0.0940058099030184 -0.666639652995538 0.187575077813648 -0.763760159580053 -0.102573020445697 -0.858461205748032 0.131561070338924 0.0135581586350026 -0.00931921114225722 0.00941397970944882 -0.00107217335787401 -0.531547207401575 -0.0122338500309711 0.00579814302354331 -0.615711670034908 -0.54773061249231 -0.735952212622047 -0.968521941417323 -0.957407659081365 -0.944061291317585 -0.675474238603675 -0.649349207975827 -0.847842979782152 -0.737682005666667 -0.743709055051968 -0.755034945144357 -0.768200237979003 -0.873095167401575 -0.823010572834646 -0.608725016246037 -0.608725016246037 -0.675862705609711 -0.712936798755118 -0.858629300629921 -0.6074798076 -0.564333927497507 -0.739872386265092 -0.687232416484121 -0.659394147848373 -0.864501213044619 -0.748481992183727 -0.722362998147507 -0.781247177979003 -0.666050833614173 -0.690586679813123 -0.730398390041995 -0.869325921102362
